2023-06-08 15:06:34 status unpacked binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.2
2023-06-08 15:06:34 status half-configured binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.2
2023-06-08 15:06:34 status installed binutils-x86-64-linux-gnu:amd64 2.38-4ubuntu2.2
2023-06-08 15:06:34 configure binutils:amd64 2.38-4ubuntu2.2 <none>
2023-06-08 15:06:34 status unpacked binutils:amd64 2.38-4ubuntu2.2
2023-06-08 15:06:34 status half-configured binutils:amd64 2.38-4ubuntu2.2
2023-06-08 15:06:34 status installed binutils:amd64 2.38-4ubuntu2.2
2023-06-08 15:06:34 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2023-06-08 15:06:34 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:34 status installed libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:34 trigproc man-db:amd64 2.10.2-1 <none>
2023-06-08 15:06:34 status half-configured man-db:amd64 2.10.2-1
2023-06-08 15:06:34 status installed man-db:amd64 2.10.2-1
2023-06-08 15:06:39 startup archives unpack
2023-06-08 15:06:39 upgrade libkpathsea6:amd64 2021.20210626.59705-1build1 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:39 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:39 status half-configured libkpathsea6:amd64 2021.20210626.59705-1build1
2023-06-08 15:06:39 status unpacked libkpathsea6:amd64 2021.20210626.59705-1build1
2023-06-08 15:06:39 status half-installed libkpathsea6:amd64 2021.20210626.59705-1build1
2023-06-08 15:06:39 status unpacked libkpathsea6:amd64 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:39 startup packages configure
2023-06-08 15:06:39 configure libkpathsea6:amd64 2021.20210626.59705-1ubuntu0.1 <none>
2023-06-08 15:06:39 status unpacked libkpathsea6:amd64 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:39 status half-configured libkpathsea6:amd64 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:39 status installed libkpathsea6:amd64 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:39 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2023-06-08 15:06:39 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:39 status installed libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:44 startup archives unpack
2023-06-08 15:06:44 upgrade libncursesw6:amd64 6.3-2 6.3-2ubuntu0.1
2023-06-08 15:06:44 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:44 status half-configured libncursesw6:amd64 6.3-2
2023-06-08 15:06:44 status unpacked libncursesw6:amd64 6.3-2
2023-06-08 15:06:44 status half-installed libncursesw6:amd64 6.3-2
2023-06-08 15:06:44 status unpacked libncursesw6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 upgrade libncurses6:amd64 6.3-2 6.3-2ubuntu0.1
2023-06-08 15:06:44 status half-configured libncurses6:amd64 6.3-2
2023-06-08 15:06:44 status unpacked libncurses6:amd64 6.3-2
2023-06-08 15:06:44 status half-installed libncurses6:amd64 6.3-2
2023-06-08 15:06:44 status unpacked libncurses6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 upgrade libtinfo6:amd64 6.3-2 6.3-2ubuntu0.1
2023-06-08 15:06:44 status half-configured libtinfo6:amd64 6.3-2
2023-06-08 15:06:44 status unpacked libtinfo6:amd64 6.3-2
2023-06-08 15:06:44 status half-installed libtinfo6:amd64 6.3-2
2023-06-08 15:06:44 status unpacked libtinfo6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 startup packages configure
2023-06-08 15:06:44 configure libtinfo6:amd64 6.3-2ubuntu0.1 <none>
2023-06-08 15:06:44 status unpacked libtinfo6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 status half-configured libtinfo6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 status installed libtinfo6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 startup packages configure
2023-06-08 15:06:44 configure libncurses6:amd64 6.3-2ubuntu0.1 <none>
2023-06-08 15:06:44 status unpacked libncurses6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 status half-configured libncurses6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 status installed libncurses6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 configure libncursesw6:amd64 6.3-2ubuntu0.1 <none>
2023-06-08 15:06:44 status unpacked libncursesw6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 status half-configured libncursesw6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 status installed libncursesw6:amd64 6.3-2ubuntu0.1
2023-06-08 15:06:44 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2023-06-08 15:06:44 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:44 status installed libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:49 startup archives unpack
2023-06-08 15:06:49 upgrade libsynctex2:amd64 2021.20210626.59705-1build1 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:49 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:49 status half-configured libsynctex2:amd64 2021.20210626.59705-1build1
2023-06-08 15:06:49 status unpacked libsynctex2:amd64 2021.20210626.59705-1build1
2023-06-08 15:06:49 status half-installed libsynctex2:amd64 2021.20210626.59705-1build1
2023-06-08 15:06:49 status unpacked libsynctex2:amd64 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:49 startup packages configure
2023-06-08 15:06:49 configure libsynctex2:amd64 2021.20210626.59705-1ubuntu0.1 <none>
